Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Eurasian Jay,Garrulus glandarius,european,brown,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,These birds plan for future needs by hoarding acorns for winter.,,,,4,bowl,3,56,X,,,1,1,,,,,1,,,3,L,,,,,,,X,X,,,,X,,,,,,X,X,,,,,,X,,,X,,,,,,,,X,,Garrulus glandarius,Corvidae,Passeriformes,6JYHZ,4,underused tier,https://navarog.github.io/wingsearch/card/112,FALSE
Eurasian Kestrel,Falco tinnunculus,asia,brown,"Roll any 3 [die]. If you roll at least 1 [rodent], cache 1 [rodent] on this bird.","While looking for mice and similar prey, kestrels hover by flying into the wind or by using ridge lift.",X,,,3,cavity,3,68,X,X,X,,,,,1,,,,,1,R,R,,,,,,X,X,X,,,X,,,X,X,,,,,,X,,,,X,X,,,,,X,,,,,,Falco tinnunculus,Falconidae,Falconiformes,3DTGW,3,tier 2,https://navarog.github.io/wingsearch/card/384,TRUE
Eurasian Magpie,Pica pica,european,teal,"Choose 1 other player. For each action cube on their [grassland], cache 1 [wild] from the supply on any of your birds.","These birds are considered to have very high intelligence, similar to great apes.",,,,1,platform,3,56,,X,,1,,,,,,1,,,2,R,,,,,,,X,X,,,,X,,,X,,,,,,,,,,,,,X,,X,X,,,,,,,Pica pica,Corvidae,Passeriformes,4HPXM,3,tier 2,https://navarog.github.io/wingsearch/card/113,FALSE
Eurasian Marsh-Harrier,Circus aeruginosus,asia,brown,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.","Harriers perform ""sky dances"" in which they show off for mates by swooping, tumbling, and diving.",X,,,2,platform,3,130,,,X,,,,,1,,,,,1,L,N,,,,,,X,X,X,,,X,,,X,,,,,,,X,,,,X,,,,X,,X,,,X,,,Circus aeruginosus,Accipitridae,Accipitriformes,5Z6WQ,3,tier 2,https://navarog.github.io/wingsearch/card/385,TRUE
Eurasian Nutcracker,Nucifraga caryocatactes,european,brown,Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.,Nutcrackers have been observed traveling as far as 32 km to cache seeds.,,,,5,bowl,2,55,X,,,,1,,,,,,,,1,L,,,,,,,X,X,,,,X,,,,,,X,,,,,,,X,,,,,,,,X,,,X,,Nucifraga caryocatactes,Corvidae,Passeriformes,482M4,2,tier 1,https://navarog.github.io/wingsearch/card/114,FALSE
Eurasian Nuthatch,Sitta europaea,european,brown,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",These birds will often recycle old woodpecker holes as nesting sites.,,,,3,cavity,3,25,X,,,1,1,,,,,,,,2,L,,,,,,,X,X,,,,X,,,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Sitta europaea,Sittidae,Passeriformes,6Z52Z,3,tier 2,https://navarog.github.io/wingsearch/card/115,FALSE
Eurasian Siskin,Spinus spinus,promoEurope,white,"Each other player may give you 1 [wild] to lay 2 [egg] on any of their birds. If you receive fewer than 3 [wild], also tuck 2 [card] from the deck behind this bird.",Surbordinate Eurasian siskins regurgitate food for the dominant members of the flock.,,X,,5,bowl,3,22,X,X,,,2,,,,,,,,2,L,,,,,,,X,X,X,,,X,,,,X,X,X,,,,,,,,,,,X,,,,,,,X,,Spinus spinus,Fringillidae,Passeriformes,4Z65Y,,,https://navarog.github.io/wingsearch/card/509,FALSE
Eurasian Skylark,Alauda arvensis,promoUK,pink,"When another player draws a bonus card, draw 1 new bonus card, then discard 1 at the end of their turn.",Skylarks are under threat in the UK—their population more than halved between 1980 and 2025.,,,X,5,ground,4,33,,X,X,1,1,,,,,,,,2,L,,,,,,,X,X,,X,,X,,,,X,,X,,X,X,,,,,,,,,,,,,,,,,Alauda arvensis,Alaudidae,Passeriformes,BFFT,,,https://navarog.github.io/wingsearch/card/551,FALSE
Eurasian Sparrowhawk,Accipiter nisus,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",Sparrowhawk populations declined with the introduction of agricultural insecticides.,X,,,4,platform,2,65,X,,,,,,,1,,,,*,1,R,,,,,,,X,X,X,,,X,,,,,,,,,,X,,,X,,,,,X,,X,X,,,,,Accipiter nisus,Accipitridae,Accipitriformes,93VP,3,tier 2,https://navarog.github.io/wingsearch/card/116,FALSE
Eurasian Tree Sparrow,Passer montanus,european,pink,"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn.",A traditional Japanese dance was inspired by the fluttering of the tree sparrow.,,,,3,cavity,4,21,X,X,,1,1,,,,,,,,2,R,R,,,,,,X,X,,X,,X,,,X,X,,X,,,,,,,,,X,,X,,,,,,,,,Passer montanus,Passeridae,Passeriformes,4DXY4,4,underused tier,https://navarog.github.io/wingsearch/card/117,TRUE
Eurasian Treecreeper,Certhia familiaris,asia,teal,"For every 3 [egg] in your [forest], gain 1 [invertebrate] or [seed] from the supply. You may cache up to 2 of them on this bird.","Treecreepers forage by hopping up tree trunks, then fluttering down to the base of the next tree.",,,,0,bowl,3,20,X,,,1,1,,,,,,/,,1,L,,,,,,,X,X,,,,X,,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,Certhia familiaris,Certhiidae,Passeriformes,5XN9F,4,underused tier,https://navarog.github.io/wingsearch/card/386,FALSE
Eurasian Wigeon,Mareca penelope,promoUK,brown,Draw 1 face-up [card] from the tray with [seed] in its food cost. You may reset or refill the tray before doing so.,"These ducks are noisy—the male makes a clear whistle, while the female makes a low growl.",,,,2,ground,4,80,,X,X,,2,,,,,,,,2,R,,,,,,,X,X,X,,,X,,,X,X,,X,,X,,,,,,X,,,,,,,,,,,,Mareca penelope,Anatidae,Anseriformes,9HJGS,,,https://navarog.github.io/wingsearch/card/552,FALSE
Eurasian Wren,Troglodytes troglodytes,promoEurope,pink,"When another player plays a bird that has a ""When Played"" (white) ability, gain 1 [die] from the birdfeeder.","Per unit weight, the wren can sing ten times louder than a rooster.",,,,3,wild,4,15,X,X,X,1,,,,,,,,,1,L,,,,,,,X,X,X,,,X,,,X,X,,,,X,,,,X,,,X,,X,X,,,,,,X,,Troglodytes troglodytes,Troglodytidae,Passeriformes,598TT,,,https://navarog.github.io/wingsearch/card/510,FALSE
Eurasian Wryneck,Jynx torquilla,promoEurope,brown,"If you have more [wild] in your supply than each of your neighbors has in theirs, gain 1 [die] from the birdfeeder.","This bird has been used in witchcraft; the term ""jinx"" comes from its scientific name.",,,,1,cavity,5,26,X,X,,1,,,,,,,,,1,R,,,,,,,X,X,X,,X,X,,,X,X,,,,,,,,X,,,X,,X,,,,,,,,,Jynx torquilla,Picidae,Piciformes,3QXQR,,,https://navarog.github.io/wingsearch/card/511,FALSE
European Bee-Eater,Merops apiaster,european,brown,"Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting.",Honeybees make up approximately three-quarters of this bird’s diet.,,,,3,cavity,3,38,,X,,2,,,,,,,,,2,R,R,,,,,,X,X,X,,,X,,,X,,,,,,,,,X,,,X,,,,X,,,,,,,Merops apiaster,Meropidae,Coraciiformes,3ZW55,3,tier 2,https://navarog.github.io/wingsearch/card/118,TRUE
European Golden Plover,Pluvialis apricaria,promoUK,brown,"Tuck 1 [card] from your hand behind this bird. If you do, each player gains 1 [die] from the birdfeeder, starting with the player of your choice.","These plovers are very sociable birds, forming large flocks to forage for food in winter.",,X,,5,ground,2,70,,X,X,2,,,,,,,,,2,R,,,,,,,X,,,,,X,,X,,X,X,,,X,,,,X,,X,,,,,,,X,,,,,Pluvialis apricaria,Charadriidae,Charadriiformes,4KKPV,,,https://navarog.github.io/wingsearch/card/553,FALSE
European Goldfinch,Carduelis carduelis,european,pink,"When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird.",This goldfinch is depicted in hundreds of Italian Renaissance paintings.,,X,,6,bowl,4,23,X,X,,,2,,1,,,,,,3,R,R,,,,,,X,X,,,,X,,X,,X,X,X,X,,,,,,,,,,X,,,,,X,,X,,Carduelis carduelis,Fringillidae,Passeriformes,R6J7,2,tier 1,https://navarog.github.io/wingsearch/card/119,TRUE
European Greenfinch,Chloris chloris,promoUK,brown,Gain all [seed] that are in the birdfeeder.,"Although rather sociable, these birds are known to squabble with other birds over food.",,,,2,bowl,3,26,X,,,,2,,,,,,,,2,L,,,,,,,X,X,,X,,X,,X,X,,,X,,,,,,,X,,,,X,,,,,,,X,,Chloris chloris,Fringillidae,Passeriformes,5XWQ6,,,https://navarog.github.io/wingsearch/card/554,FALSE
European Herring Gull,Larus argentatus,promoEurope,brown,Tuck 1 [card] from your hand behind this bird to draw 1 [card] from the top of the discard pile.,Garbage accounts for up to half of this bird's diet.,,X,,3,wild,2,140,,,X,,,,,,,1,,,1,R,,,,,,,X,,,,,X,,,X,,X,,,X,,,,,,X,X,X,,X,,,X,,X,X,,Larus argentatus,Laridae,Charadriiformes,3SBPN,,,https://navarog.github.io/wingsearch/card/512,FALSE
European Honey Buzzard,Pernis apivorus,european,teal,"Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting.",This species possesses long toes and claws to rake and excavate wasp nests.,,,,4,platform,1,134,X,,,1,,,,,,1,,,2,R,,,,,,,X,X,X,,,X,,,,,,,,,,,,,X,X,,X,,X,,,X,,,,,Pernis apivorus,Accipitridae,Accipitriformes,4F6YZ,4,underused tier,https://navarog.github.io/wingsearch/card/120,FALSE
European Robin,Erithacus rubecula,european,brown,"From the supply, gain 1 food of a type you already gained this turn.",Folklore says the bad or good fortune you bring to a robin will come back to you.,,,,4,bowl,4,22,X,,,1,1,,1,,,,,,3,L,L,,,,,,X,X,,,,X,,,,,,X,X,,,,,,X,,,,X,,,,,X,,X,,Erithacus rubecula,Muscicapidae,Passeriformes,6H2XM,3,tier 2,https://navarog.github.io/wingsearch/card/121,TRUE
European Roller,Coracias garrulus,european,white,"Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost.",European roller chicks will vomit on themselves to deter nearby predators.,,,,3,cavity,2,70,,X,,1,,,,1,,,,,2,R,L,,,,,,X,X,X,,,X,,,X,,,,,,,,,,,X,X,,,,X,X,X,,,,,Coracias garrulus,Coraciidae,Coraciiformes,5ZZQS,4,underused tier,https://navarog.github.io/wingsearch/card/122,TRUE
European Serin,Serinus serinus,promoEurope,brown,Discard all [wild] (minimum 1) from your supply to tuck 3 [card] from the deck behind this bird.,European series often join mixed-species feeding flocks.,,X,,3,bowl,3,19,X,X,,1,2,,,,,,,,3,L,,,,,,,X,X,X,,,X,,,X,X,X,X,X,,,,,,,,,,X,,,,,,,X,,Serinus serinus,Fringillidae,Passeriformes,4WV7R,,,https://navarog.github.io/wingsearch/card/513,FALSE
European Shag,Gulosus aristotelis,promoUK,brown,Tuck [card] 1 from your hand behind this bird to gain 1 [fish] from the supply.,"Shags feed together in large flocks, sometimes numbering in the hundreds.",,X,,5,platform,2,95,,,X,,,2,,,,,,,2,L,,,,,,,X,,X,,,X,,,,,X,,,,,,X,,,X,,,,X,,,X,,X,,,Gulosus aristotelis,Phalacrocoracidae,Suliformes,D5JSP,,,https://navarog.github.io/wingsearch/card/555,FALSE
European Stonechat,Saxicola rubicola,promoUK,teal,"Discard up to 3 [invertebrate], [seed], or [fruit] in any combination. For each, lay 1 [egg] on this bird.","This bird is named for its call, which sounds like two small stones being hit together.",,,,2,bowl,3,20,,X,X,1,1,,1,,,,/,,1,L,,,,,,,X,X,X,,,X,,,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Saxicola rubicola,Muscicapidae,Passeriformes,6Y2RF,,,https://navarog.github.io/wingsearch/card/556,FALSE
European Turtle Dove,Streptopelia turtur,european,white,"Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder, lay 1 [egg] on any bird, or draw 1 [card].",Turtle doves are a symbol of love in the Song of Solomon and the 12 Days of Christmas.,,,X,4,platform,1,51,X,X,X,,2,,,,,,,,2,R,R,,,,,,X,X,X,,,X,,,,X,,X,,,X,,,,,,,,,X,,,X,,,,,Streptopelia turtur,Columbidae,Columbiformes,6ZXPY,4,underused tier,https://navarog.github.io/wingsearch/card/123,TRUE
Evening Grosbeak,Hesperiphona vespertina,promoCA,white,All players draw 1 new bonus card. You draw 1 additional new bonus card.,"Despite the eastward expansion of its range, this saffron-colored finch remains vulternable",,,X,7,bowl,2,33,X,,,1,1,,1,,,,,,3,L,,,,X,X,,,,,,X,,,,,,,X,X,,X,,,,X,,,,,,,,X,X,,X,,Hesperiphona vespertina,Fringillidae,Passeriformes,3L4Y3,,,https://navarog.github.io/wingsearch/card/478,FALSE
Fernbird,Poodytes punctatus,promoNZ,brown,"Draw 1 [card] from the deck. If it has [invertebrate] in its food cost, you may discard it to lay 1 [egg] on this bird or keep it. If not, discard it.",This secretive swamp-dweller makes a distinctive “u-tick” contact call.,,,,7,bowl,3,23,,X,X,1,1,,1,,,,,,3,R,,,,,,,,,,X,,,,,,X,,X,X,,,,,,,,,,X,,,,,X,,X,,Poodytes punctatus,Locustellidae,Passeriformes,RWXMD,,,https://navarog.github.io/wingsearch/card/525,FALSE
Ferruginous Hawk,Buteo regalis,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",These rust-colored birds sometimes hunt in groups in prairie dog towns.,X,,,6,platform,2,142,,X,,,,,,2,,,,,2,R,,,,X,X,,,,,,,,,X,,,,,,,,X,,,,X,,,,X,X,X,X,,,,,Buteo regalis,Accipitridae,Accipitriformes,NYVM,4,underused tier,https://navarog.github.io/wingsearch/card/124,FALSE
Fire-Fronted Serin,Serinus pusillus,asia,teal,Lay 1 [egg] on this bird for each bird to its left in this row.,"In courtship, the males of this species raise up the red feathers on their head to show them off.",,,,1,bowl,4,21,X,X,,,1,,1,,,,,,2,R,,,,,,,,X,,,,,,X,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Serinus pusillus,Fringillidae,Passeriformes,4WV7K,4,underused tier,https://navarog.github.io/wingsearch/card/387,FALSE
Fish Crow,Corvus ossifragus,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These birds may eat more fish than other crows, but they're actually omnivores.",,,,6,platform,2,91,X,X,X,,,1,,,,1,,,2,R,N,,,X,,,,,,,,,,,,X,,,,,,,X,,,X,,X,,X,,,X,,,,,Corvus ossifragus,Corvidae,Passeriformes,YNJD,2,tier 1,https://navarog.github.io/wingsearch/card/125,TRUE
Forest Owlet,Athene blewitti,asia,brown,"Choose any 2 [die]. Roll them up to 3 times. Each time, if you roll at least 1 [invertebrate] or [rodent], cache 1 here. If not, stop and return all food cached here this turn.","In 1997, a team saw this species in India -- 113 years after the last reported sighting.",X,,,4,cavity,2,56,X,,,1,,,,1,,,,,2,N,N,,,,,,,X,,,,X,,,,,,,,,,X,,,X,,X,,,,,X,X,,,,,Athene blewitti,Strigidae,Strigiformes,5VVBS,4,underused tier,https://navarog.github.io/wingsearch/card/388,TRUE
Forster's Tern,Sterna forsteri,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","These birds nest on the ground, on rafts of floating vegetation, or on muskrat lodges.",,,,4,wild,2,79,,,X,1,,1,,,,,/,,1,L,,,,X,X,,,,,,,,X,,,,,,,X,,,X,,,X,X,,,X,,,X,,X,X,,Sterna forsteri,Laridae,Charadriiformes,6ZSCV,3,tier 2,https://navarog.github.io/wingsearch/card/126,FALSE
Franklin's Gull,Leucophaeus pipixcan,core,brown,Discard 1 [egg] to draw 2 [card].,These gulls make floating nests of plant material on prairie marshes.,,,,3,wild,2,91,,X,X,,,1,,,,1,,,2,R,R,,,X,X,X,,,,,,,X,,X,X,,,,X,,,X,,,X,X,X,,X,,,X,,,X,,Leucophaeus pipixcan,Laridae,Charadriiformes,6Q4RB,0,god tier,https://navarog.github.io/wingsearch/card/127,TRUE
Galah,Eolophus roseicapilla,oceania,brown,"Choose 1 other player. They reset the birdfeeder and gain a [seed], if there is one. You tuck 2 [card] from the deck behind this bird.","A noisy idiot might be called a galah after these gregarious, playful birds.",,X,,5,cavity,2,75,X,X,,,3,,,,,,,,3,R,R,,,,,,,,,X,,,,,,X,X,X,X,,,,,,,X,X,,,,,,X,,,,,Eolophus roseicapilla,Cacatuidae,Psittaciformes,6FJCY,2,tier 1,https://navarog.github.io/wingsearch/card/287,TRUE
Garden Warbler,Sylvia borin,promoUK,white,Play an additional bird in this bird’s habitat. Pay its normal food and egg cost. Then lay 1 [egg] on both birds.,"Despite the name, these are not strictly garden birds, spending most of their time in the cover of trees.",,,,1,wild,3,20,X,X,,1,,,1,,,,/,,1,R,,,,,,,,,,,,,,,X,X,,,,X,,,,,,,X,,X,X,,,,X,,X,,Sylvia borin,Sylviidae,Passeriformes,53N3M,,,https://navarog.github.io/wingsearch/card/557,FALSE
Giant Fish Owl,Ketupa blakistoni,promoAsia,white,Draw 1 new bonus card. You may discard 1 bonus card to cache 3 [fish] from the supply on this bird.,"Also called Blakiston’s fish owl, this endangered species is the largest of all extant owls.",,,X,8,cavity,2,180,X,,X,,,3,,,,,,,3,R,,,,,,,,X,,,,,,,,X,,,X,,X,,X,,,X,X,,,,,,X,,,,,Ketupa blakistoni,Strigidae,Strigiformes,3R6SG,,,https://navarog.github.io/wingsearch/card/457,FALSE
Goldcrest,Regulus regulus,european,brown,"Discard 1 [card] from your hand. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",Legends said these tiny birds would hitch a ride in the tailfeathers of eagles or owls.,,,,1,bowl,6,15,X,,,1,,,,,,,,,1,R,R,,,,,,X,X,,,X,,,X,X,,,,,,,,,X,X,,,,X,,,,,,,X,,Regulus regulus,Regulidae,Passeriformes,78SHD,4,underused tier,https://navarog.github.io/wingsearch/card/128,TRUE
Golden Eagle,Aquila chrysaetos,core,brown,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.",Golden eagles mostly eat rabbit-sized prey but can go after livestock and birds.,X,,,8,platform,1,201,,X,X,,,,,3,,,,,3,R,,,,X,X,,X,X,X,,,,,X,,X,,,X,,,X,,,,X,,,,X,,X,X,,,,,Aquila chrysaetos,Accipitridae,Accipitriformes,FZLP,2,tier 1,https://navarog.github.io/wingsearch/card/129,FALSE
Golden Pheasant,Chrysolophus pictus,asia,white,All players lay 2 [egg]. You lay 2 additional [egg].,The mythological phoenix is sometimes depicted as a golden pheasant.,,,,5,ground,4,70,X,X,,,,,,,,3,,,3,R,,,,,,,,X,,,,,,X,,X,,,X,X,,,,,,X,,X,,,,,,,,,,Chrysolophus pictus,Phasianidae,Galliformes,5Z2F9,3,tier 2,https://navarog.github.io/wingsearch/card/389,FALSE
Golden-Headed Cisticola,Cisticola exilis,oceania,white,Play another bird in your [grassland]. Pay its normal cost with a 1 [egg] discount.,The cisticola constructs well-camouflaged nests out of leaves and spider silk,,,,1,wild,3,15,,X,,1,,,,,,,,,1,L,,,,,,,,X,,X,X,,,X,X,,,,,X,,,,X,,,X,,X,X,X,,,,,X,,Cisticola exilis,Cisticolidae,Passeriformes,5Z8F8,2,tier 1,https://navarog.github.io/wingsearch/card/288,FALSE
Gould's Finch,Erythrura gouldiae,oceania,yellow,"Play a bird. Pay its normal food and egg cost. If it has a ""when played"" or ""game end"" power, you may use it.","Also known as Gouldian finches, these birds are bred as pets but are rare in the wild.",,,,3,cavity,3,14,X,X,X,,1,,,,,,,,1,L,R,,,,,,,,,X,,,X,,X,X,,X,,,,,,,,,X,,X,,,,,,,,,Erythrura gouldiae,Estrildidae,Passeriformes,3BG5Q,3,tier 2,https://navarog.github.io/wingsearch/card/289,TRUE
Graceful Prinia,Prinia gracilis,asia,brown,"Discard 1 [egg]. If you do, gain 1 [invertebrate] from the supply.","The prinia's nest is an oval pouch woven out of grass, with a side entrance near the top.",,,,5,wild,2,13,,X,X,2,,,,,,,,,2,R,,,,,,,,X,X,,,,,,,X,,,,X,,,,X,,,X,,X,X,,,X,,,X,,Prinia gracilis,Cisticolidae,Passeriformes,4MDWL,2,tier 1,https://navarog.github.io/wingsearch/card/390,FALSE
Grandala,Grandala coelicolor,asia,brown,"If you laid an [egg] on this bird this turn, tuck 1 [card] from the deck behind this bird.",This bird breeds above the tree line in the Himalayas.,,X,,5,bowl,2,36,,X,,1,,,1,,,,,,2,R,R,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,X,X,,X,,Grandala coelicolor,Muscicapidae,Passeriformes,3H7MZ,2,tier 1,https://navarog.github.io/wingsearch/card/391,TRUE
Grasshopper Sparrow,Ammodramus savannarum,core,brown,Lay 1 [egg] on any bird.,The song of these sparrows is often mistaken for grasshoppers.,,,,2,ground,2,20,,X,,1,1,,,,,,/,,1,L,,,,X,X,,,,,,,,,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Ammodramus savannarum,Passerellidae,Passeriformes,CTL9,2,tier 1,https://navarog.github.io/wingsearch/card/130,FALSE
Gray Catbird,Dumetella carolinensis,core,brown,Repeat a brown power on another bird in this habitat.,"Catbirds mimic other birds, and they also have a call that sounds like a cat meowing.",,,,5,bowl,3,28,X,X,X,1,,,2,,,,,,3,L,L,,,X,X,,,,,,,,,X,,X,,,X,,,,,,,,,,X,,,,,X,,X,,Dumetella carolinensis,Mimidae,Passeriformes,382DF,2,tier 1,https://navarog.github.io/wingsearch/card/131,TRUE
Gray Wagtail,Motacilla cinerea,asia,teal,"If you used all 4 types of action this round, gain 2 [wild] from the supply.",Wagtails constantly move their tails up and down as they forage in the rocky areas in rivers.,,,,3,bowl,4,26,X,X,X,2,,,,,,,,,2,R,,,,,,,X,X,X,X,X,,,X,X,X,,,,,,,,X,,,,,X,,,,,,,X,,Motacilla cinerea,Motacillidae,Passeriformes,44G9B,3,tier 2,https://navarog.github.io/wingsearch/card/392,FALSE
Great Argus,Argusianus argus,promoAsia,brown,"Cache 1 [invertebrate], [seed], or [fruit] from your supply on this bird to lay 1 [egg] on a bird in your [forest].",The male of this monogamous pheasant displays its spectacular tail in its elaborate mating ritual.,,,,5,cavity,2,72,X,,,1,1,,1,,,,,,3,L,,,,,,,,X,,,,,,,,,,X,X,,,,,,X,X,X,,,,,,X,X,,,,Argusianus argus,Phasianidae,Galliformes,5VR5Z,,,https://navarog.github.io/wingsearch/card/458,FALSE
Great Blue Heron,Ardea herodias,core,white,Play an additional bird in your [wetland]. Pay its normal cost.,"Great blue herons form rookeries with egrets, cormorants, and other herons.",,,,5,platform,2,183,,,X,1,,1,,,,,,,2,R,R,,,X,X,X,,,,,,,,X,,,,,,,,,X,,,X,,,,X,,,X,,X,,,Ardea herodias,Ardeidae,Pelecaniformes,GCHW,2,tier 1,https://navarog.github.io/wingsearch/card/132,TRUE
