Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Swift Start,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
European Robin,Erithacus rubecula,european,brown,"From the supply, gain 1 food of a type you already gained this turn.",Folklore says the bad or good fortune you bring to a robin will come back to you.,,,,4,bowl,4,22,X,,,1,1,,1,,,,,,3,,,,,X,X,,,,X,,,,,,X,X,,,,,,X,,,,X,,,,,X,,X,,Erithacus rubecula,Muscicapidae,Passeriformes,6H2XM,3,tier 2,https://navarog.github.io/wingsearch/card/121,TRUE
European Roller,Coracias garrulus,european,white,"Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost.",European roller chicks will vomit on themselves to deter nearby predators.,,,,3,cavity,2,70,,X,,1,,,,1,,,,,2,,,,,X,X,X,,,X,,,X,,,,,,,,,,,X,X,,,,X,X,X,,,,,Coracias garrulus,Coraciidae,Coraciiformes,5ZZQS,4,underused tier,https://navarog.github.io/wingsearch/card/122,TRUE
European Turtle Dove,Streptopelia turtur,european,white,"Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder, lay 1 [egg] on any bird, or draw 1 [card].",Turtle doves are a symbol of love in the Song of Solomon and the 12 Days of Christmas.,,,X,4,platform,1,51,X,X,X,,2,,,,,,,,2,,,,,X,X,X,,,X,,,,X,,X,,,X,,,,,,,,,X,,,X,,,,,Streptopelia turtur,Columbidae,Columbiformes,6ZXPY,4,underused tier,https://navarog.github.io/wingsearch/card/123,TRUE
Ferruginous Hawk,Buteo regalis,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",These rust-colored birds sometimes hunt in groups in prairie dog towns.,X,,,6,platform,2,142,,X,,,,,,2,,,,,2,,X,X,,,,,,,,,X,,,,,,,,X,,,,X,,,,X,X,X,X,,,,,Buteo regalis,Accipitridae,Accipitriformes,NYVM,4,underused tier,https://navarog.github.io/wingsearch/card/124,FALSE
Fire-Fronted Serin,Serinus pusillus,asia,teal,Lay 1 [egg] on this bird for each bird to its left in this row.,"In courtship, the males of this species raise up the red feathers on their head to show them off.",,,,1,bowl,4,21,X,X,,,1,,1,,,,,,2,,,,,,X,,,,,,X,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,Serinus pusillus,Fringillidae,Passeriformes,4WV7K,4,underused tier,https://navarog.github.io/wingsearch/card/387,FALSE
Fish Crow,Corvus ossifragus,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These birds may eat more fish than other crows, but they're actually omnivores.",,,,6,platform,2,91,X,X,X,,,1,,,,1,,,2,,X,,,,,,,,,,,,X,,,,,,,X,,,X,,X,,X,,,X,,,,,Corvus ossifragus,Corvidae,Passeriformes,YNJD,2,tier 1,https://navarog.github.io/wingsearch/card/125,TRUE
Forest Owlet,Athene blewitti,asia,brown,"Choose any 2 [die]. Roll them up to 3 times. Each time, if you roll at least 1 [invertebrate] or [rodent], cache 1 here. If not, stop and return all food cached here this turn.","In 1997, a team saw this species in India -- 113 years after the last reported sighting.",X,,,4,cavity,2,56,X,,,1,,,,1,,,,,2,,,,,,X,,,,X,,,,,,,,,,X,,,X,,X,,,,,X,X,,,,,Athene blewitti,Strigidae,Strigiformes,5VVBS,4,underused tier,https://navarog.github.io/wingsearch/card/388,TRUE
Forster's Tern,Sterna forsteri,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","These birds nest on the ground, on rafts of floating vegetation, or on muskrat lodges.",,,,4,wild,2,79,,,X,1,,1,,,,,/,,1,,X,X,,,,,,,,X,,,,,,,X,,,X,,,X,X,,,X,,,X,,X,X,,Sterna forsteri,Laridae,Charadriiformes,6ZSCV,3,tier 2,https://navarog.github.io/wingsearch/card/126,FALSE
Franklin's Gull,Leucophaeus pipixcan,core,brown,Discard 1 [egg] to draw 2 [card].,These gulls make floating nests of plant material on prairie marshes.,,,,3,wild,2,91,,X,X,,,1,,,,1,,,2,,X,X,X,,,,,,,X,,X,X,,,,X,,,X,,,X,X,X,,X,,,X,,,X,,Leucophaeus pipixcan,Laridae,Charadriiformes,6Q4RB,0,god tier,https://navarog.github.io/wingsearch/card/127,TRUE
Galah,Eolophus roseicapilla,oceania,brown,"Choose 1 other player. They reset the birdfeeder and gain a [seed], if there is one. You tuck 2 [card] from the deck behind this bird.","A noisy idiot might be called a galah after these gregarious, playful birds.",,X,,5,cavity,2,75,X,X,,,3,,,,,,,,3,,,,,,,,X,,,,,,X,X,X,X,,,,,,,X,X,,,,,,X,,,,,Eolophus roseicapilla,Cacatuidae,Psittaciformes,6FJCY,2,tier 1,https://navarog.github.io/wingsearch/card/287,TRUE
Goldcrest,Regulus regulus,european,brown,"Discard 1 [card] from your hand. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",Legends said these tiny birds would hitch a ride in the tailfeathers of eagles or owls.,,,,1,bowl,6,15,X,,,1,,,,,,,,,1,,,,,X,X,,,X,,,X,X,,,,,,,,,X,X,,,,X,,,,,,,X,,Regulus regulus,Regulidae,Passeriformes,78SHD,4,underused tier,https://navarog.github.io/wingsearch/card/128,TRUE
Golden Eagle,Aquila chrysaetos,core,brown,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.",Golden eagles mostly eat rabbit-sized prey but can go after livestock and birds.,X,,,8,platform,1,201,,X,X,,,,,3,,,,,3,,X,X,,X,X,X,,,,,X,,X,,,X,,,X,,,,X,,,,X,,X,X,,,,,Aquila chrysaetos,Accipitridae,Accipitriformes,FZLP,2,tier 1,https://navarog.github.io/wingsearch/card/129,FALSE
Golden Pheasant,Chrysolophus pictus,asia,white,All players lay 2 [egg]. You lay 2 additional [egg].,The mythological phoenix is sometimes depicted as a golden pheasant.,,,,5,ground,4,70,X,X,,,,,,,,3,,,3,,,,,,X,,,,,,X,,X,,,X,X,,,,,,X,,X,,,,,,,,,,Chrysolophus pictus,Phasianidae,Galliformes,5Z2F9,3,tier 2,https://navarog.github.io/wingsearch/card/389,FALSE
Golden-Headed Cisticola,Cisticola exilis,oceania,white,Play another bird in your [grassland]. Pay its normal cost with a 1 [egg] discount.,The cisticola constructs well-camouflaged nests out of leaves and spider silk,,,,1,wild,3,15,,X,,1,,,,,,,,,1,,,,,,X,,X,X,,,X,X,,,,,X,,,,X,,,X,,X,X,X,,,,,X,,Cisticola exilis,Cisticolidae,Passeriformes,5Z8F8,2,tier 1,https://navarog.github.io/wingsearch/card/288,FALSE
Gould's Finch,Erythrura gouldiae,oceania,yellow,"Play a bird. Pay its normal food and egg cost. If it has a ""when played"" or ""game end"" power, you may use it.","Also known as Gouldian finches, these birds are bred as pets but are rare in the wild.",,,,3,cavity,3,14,X,X,X,,1,,,,,,,,1,,,,,,,,X,,,X,,X,X,,X,,,,,,,,,X,,X,,,,,,,,,Erythrura gouldiae,Estrildidae,Passeriformes,3BG5Q,3,tier 2,https://navarog.github.io/wingsearch/card/289,TRUE
Graceful Prinia,Prinia gracilis,asia,brown,"Discard 1 [egg]. If you do, gain 1 [invertebrate] from the supply.","The prinia's nest is an oval pouch woven out of grass, with a side entrance near the top.",,,,5,wild,2,13,,X,X,2,,,,,,,,,2,,,,,,X,X,,,,,,,X,,,,X,,,,X,,,X,,X,X,,,X,,,X,,Prinia gracilis,Cisticolidae,Passeriformes,4MDWL,2,tier 1,https://navarog.github.io/wingsearch/card/390,FALSE
Grandala,Grandala coelicolor,asia,brown,"If you laid an [egg] on this bird this turn, tuck 1 [card] from the deck behind this bird.",This bird breeds above the tree line in the Himalayas.,,X,,5,bowl,2,36,,X,,1,,,1,,,,,,2,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,X,X,,X,,Grandala coelicolor,Muscicapidae,Passeriformes,3H7MZ,2,tier 1,https://navarog.github.io/wingsearch/card/391,TRUE
Grasshopper Sparrow,Ammodramus savannarum,core,brown,Lay 1 [egg] on any bird.,The song of these sparrows is often mistaken for grasshoppers.,,,,2,ground,2,20,,X,,1,1,,,,,,/,,1,,X,X,,,,,,,,,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Ammodramus savannarum,Passerellidae,Passeriformes,CTL9,2,tier 1,https://navarog.github.io/wingsearch/card/130,FALSE
Gray Catbird,Dumetella carolinensis,core,brown,Repeat a brown power on another bird in this habitat.,"Catbirds mimic other birds, and they also have a call that sounds like a cat meowing.",,,,5,bowl,3,28,X,X,X,1,,,2,,,,,,3,,X,X,,,,,,,,,X,,X,,,X,,,,,,,,,,X,,,,,X,,X,,Dumetella carolinensis,Mimidae,Passeriformes,382DF,2,tier 1,https://navarog.github.io/wingsearch/card/131,TRUE
Gray Wagtail,Motacilla cinerea,asia,teal,"If you used all 4 types of action this round, gain 2 [wild] from the supply.",Wagtails constantly move their tails up and down as they forage in the rocky areas in rivers.,,,,3,bowl,4,26,X,X,X,2,,,,,,,,,2,,,,,X,X,X,X,X,,,X,X,X,,,,,,,,X,,,,,X,,,,,,,X,,Motacilla cinerea,Motacillidae,Passeriformes,44G9B,3,tier 2,https://navarog.github.io/wingsearch/card/392,FALSE
Great Blue Heron,Ardea herodias,core,white,Play an additional bird in your [wetland]. Pay its normal cost.,"Great blue herons form rookeries with egrets, cormorants, and other herons.",,,,5,platform,2,183,,,X,1,,1,,,,,,,2,,X,X,X,,,,,,,,X,,,,,,,,,X,,,X,,,,X,,,X,,X,,,Ardea herodias,Ardeidae,Pelecaniformes,GCHW,2,tier 1,https://navarog.github.io/wingsearch/card/132,TRUE
Great Cormorant,Phalacrocorax carbo,asia,brown,"You may move 1 [fish] from this bird to your supply. Then, roll any 2 [die]. If any are [fish], cache 1 [fish] on this bird from the supply.",People in China and Japan have used cormorants to fish for over 2000 years.,X,,,6,platform,2,145,,,X,,,2,,,,,,,2,,X,,,X,X,X,X,,,,,,,,,,,,X,X,,,X,,,,X,,,X,,X,,,Phalacrocorax carbo,Phalacrocoracidae,Suliformes,4FQQC,4,underused tier,https://navarog.github.io/wingsearch/card/393,TRUE
Great Crested Flycatcher,Myiarchus crinitus,core,brown,"Gain 1 [invertebrate] from the birdfeeder, if available.",These birds avoid competition by focusing on insects high up in trees.,,,,5,cavity,3,33,X,,,1,,,1,,,,,,2,,X,X,X,,,,,X,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,Myiarchus crinitus,Tyrannidae,Passeriformes,452NL,4,underused tier,https://navarog.github.io/wingsearch/card/133,TRUE
Great Crested Grebe,Podiceps cristatus,european,brown,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.",Great crested grebe parents will choose their favorite chicks and rear them individually.,,,,3,wild,2,65,,,X,,,2,,,,,,,2,,,,,X,X,X,X,X,,,,X,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,Podiceps cristatus,Podicipedidae,Podicipediformes,782YB,1,tier 0,https://navarog.github.io/wingsearch/card/134,TRUE
Great Egret,Ardea alba,core,white,Play an additional bird in your [wetland]. Pay its normal cost.,Smaller birds will sometimes follow after great egrets as they stir up prey.,,,,7,platform,3,130,,,X,,,2,,1,,,,,3,,X,X,X,X,X,X,X,,,,,,,,,X,,,,X,,,X,,,,X,,X,,,X,,,Ardea alba,Ardeidae,Pelecaniformes,GCHR,2,tier 1,https://navarog.github.io/wingsearch/card/135,FALSE
Great Hornbill,Buceros bicornis,asia,brown,All players may tuck a [card] from their hand under a bird in their [forest] and/or cache 1 [fruit] from their supply on a bird in their [forest].,These birds gather at fruiting trees and can roost in flocks of up to 200 outside breeding season.,,X,,9,cavity,2,160,X,,,1,,,2,,,,,,3,,,,,,X,,,X,,,,,,X,,X,,,,,,X,X,X,,,,,,X,X,,,,Buceros bicornis,Bucerotidae,Bucerotiformes,5WSHC,2,tier 1,https://navarog.github.io/wingsearch/card/394,TRUE
Great Horned Owl,Bubo virginianus,core,brown,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.","These strong owls can kill large prey including skunks, cats, and dogs.",X,,,8,platform,2,112,X,,,,,,,3,,,,,3,,X,X,X,,,,,,,,,,,,,X,,,X,,,X,X,,,,X,,X,X,,,,,Bubo virginianus,Strigidae,Strigiformes,NKTR,2,tier 1,https://navarog.github.io/wingsearch/card/136,TRUE
Great Indian Bustard,Ardeotis nigriceps,asia,white,Score 1 of your bonus cards now by caching 1 [seed] from the supply on this bird for each point. Also score it normally at game end.,"Ths critically endangered bird can weigh as much as 18kg, making it the heaviest flying bird.",,,X,6,ground,1,230,,X,,,2,,,,,1,,,3,,,,,,X,,,,X,,,,,,X,X,X,X,,,,,X,,X,,,X,,X,,,,,Ardeotis nigriceps,Otididae,Otidiformes,GCMS,1,tier 0,https://navarog.github.io/wingsearch/card/395,FALSE
Great Spotted Woodpecker,Dendrocopos major,asia,brown,"Gain 1 [invertebrate] or [seed] from the birdfeeder, if there is one.","Woodpeckers can make up to 12,000 pecks a day, at around 20 pecks a second.",,,,6,cavity,3,41,X,,,1,1,,1,,,,,,3,,,,,X,X,X,,,,,,,,,X,X,,,,,,X,,X,,,,,,,X,,,,Dendrocopos major,Picidae,Piciformes,6CJDB,3,tier 2,https://navarog.github.io/wingsearch/card/396,FALSE
Great Tit,Parus major,european,brown,"Reset the birdfeeder. If you do, gain 1 [die] from the birdfeeder after resetting.",Great tits have been known to use conifer needles as tools to pull insect larvae out of a tree,,,,4,cavity,6,24,X,,,1,1,,1,,,,,,3,,,,,X,X,,X,,,,,,,,X,X,,,,,,X,,X,,X,,,,,X,,,,Parus major,Paridae,Passeriformes,75SVV,3,tier 2,https://navarog.github.io/wingsearch/card/137,TRUE
Greater Adjutant,Leptoptilos dubius,asia,yellow,"Copy one bonus card of the player on your left, as if it were your own (score it based on your own birds).",Widespread wetland loss led this bird to go from being one of the most common storks to the rarest.,,,X,4,platform,2,261,,,X,,,1,,,,2,,,3,,,,,,X,,,,,,,,,,,X,,X,,X,,,X,,X,,X,,,X,,X,,,Leptoptilos dubius,Ciconiidae,Ciconiiformes,6PHMB,3,tier 2,https://navarog.github.io/wingsearch/card/397,FALSE
Greater Flamingo,Phoenicopterus roseus,european,brown,"Choose 1 other player. For each action cube on their [wetland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",A greater flamingo at the Adelaide Zoo in Australia lived to be at least 83 years old.,,X,,3,ground,1,152,,,X,1,2,,,,,,,,3,,,,,X,X,X,,,,,,X,,X,X,X,X,,,,,,X,,,,,,,X,,X,,,Phoenicopterus roseus,Phoenicopteridae,Phoenicopteriformes,C45ZK,4,underused tier,https://navarog.github.io/wingsearch/card/138,FALSE
Greater Prairie-Chicken,Tympanuchus cupido,core,white,Draw 2 new bonus cards and keep 1.,"One subspecies of this bird went extinct in 1932, and a Texas form is endangered.",,,X,5,ground,4,71,,X,,1,2,,,,,,,,3,,X,,,,,,,,X,,,,,,X,X,X,X,,,,,X,,,,,X,,,,,,,Tympanuchus cupido,Phasianidae,Galliformes,7DB5L,3,tier 2,https://navarog.github.io/wingsearch/card/139,FALSE
Greater Roadrunner,Geococcyx californianus,core,brown,"Look at a [card] from the deck. If less than 50cm, tuck it behind this bird. If not, discard it.","Roadrunners rarely fly, but will jump up to snatch prey out of the air.",X,,,7,platform,2,56,,X,,1,,,,1,,1,,,3,,X,X,,,,,,,,,,,,,,X,,,X,,,,,,X,,X,X,X,X,,,,,Geococcyx californianus,Cuculidae,Cuculiformes,3FP5Z,2,tier 1,https://navarog.github.io/wingsearch/card/140,FALSE
Green Bee-Eater,Merops orientalis,asia,brown,"If there is at least 1 bird on the tray that has [invertebrate] in its food cost, tuck 1 of them behind this bird.",These insectivores often roost in large groups.,,X,,4,wild,3,29,X,X,X,3,,,,,,,,,3,,,,,,X,X,,,,,X,,X,X,,X,X,,,,X,,,X,,X,X,,,,,,X,,Merops orientalis,Meropidae,Coraciiformes,3ZW5J,3,tier 2,https://navarog.github.io/wingsearch/card/398,TRUE
Green Heron,Butorides virescens,core,brown,Trade 1 [wild] for any other type from the supply.,Green herons drop insects and other objects onto the water to attract fish.,,,,4,platform,3,66,,,X,1,,1,,,,,/,,1,,X,X,,,,,,,,,X,,,,,,,,,X,,,X,,,,X,,,,,X,,,Butorides virescens,Ardeidae,Pelecaniformes,NZ6M,3,tier 2,https://navarog.github.io/wingsearch/card/141,TRUE
Green Pheasant,Phasianus colchicus versicolor,asia,brown,All players lay 1 [egg].,This bird was designated the national bird of Japan in 1947.,,,,7,ground,5,80,,X,X,1,1,,1,,,,,,3,,,,,,X,,,,,,X,,X,,X,X,X,,,,,,X,,,,,,,,X,,,,Phasianus versicolor versicolor,Phasianidae,Galliformes,5KC4T,2,tier 1,https://navarog.github.io/wingsearch/card/399,TRUE
Green Pygmy-Goose,Nettapus pulchellus,oceania,brown,Draw 2 [card] from the deck. Keep 1 and give the other to another player.,"This bird’s scientific name, pulchellus, is derived from the Latin word for ""pretty.""",,,,4,cavity,4,54,,,X,,2,,,,,,,,2,,,,,,X,,X,,,,X,,,,X,,,,,,,,,X,,,,,,,,X,,,Nettapus pulchellus,Anatidae,Anseriformes,479P6,4,underused tier,https://navarog.github.io/wingsearch/card/290,FALSE
Grey Butcherbird,Cracticus torquatus,oceania,brown,"Look at a [card] from the deck. If its wingspan is less than 40cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.","If prey is too large to eat whole, the butcherbird will store it and tear it into pieces.",X,,,5,bowl,2,40,X,X,X,1,,,,1,,1,,,3,,,,,,,,X,,,,X,,X,,,X,,,X,,,,,,X,,,,X,X,,,X,,Cracticus torquatus,Cracticidae,Passeriformes,Z4CY,2,tier 1,https://navarog.github.io/wingsearch/card/291,FALSE
Grey Heron,Ardea cinerea,european,white,"Place this bird sideways, so that it covers 2 [wetland] spaces. Pay the lower egg cost.",These large herons have 19 vertebrae in their necks.,,,,3,platform,2,185,,,X,,,2,,,,,,,2,,,,,X,X,X,X,,,,X,X,,,,,,,,X,,,X,,,,X,,,X,,X,,,Ardea cinerea,Ardeidae,Pelecaniformes,GCHS,3,tier 2,https://navarog.github.io/wingsearch/card/142,TRUE
Grey Shrikethrush,Colluricincla harmonica,oceania,brown,"Reset the birdfeeder and gain all [rodent], if there are any. You may cache any or all of them on this bird.","This bird is neither a shrike nor a thrush, but it is a predatory bird with a beautiful song",X,,,2,bowl,3,26,X,,,1,,,,1,,,/,,1,,,,,,,,X,,,,X,X,,,,,,,X,,,X,,,,X,,,X,,,,X,,Colluricincla harmonica,Pachycephalidae,Passeriformes,X4Y3,3,tier 2,https://navarog.github.io/wingsearch/card/292,FALSE
Grey Teal,Anas gracilis,oceania,brown,"Look at 3 [card] from the deck. Keep 1 [wetland] bird, if there is one. You may add it to your hand or tuck it behind this bird. Discard the other cards.","During drought, these birds may travel great distances to find water.",,X,,2,ground,5,64,,,X,1,1,,,,,,,,2,,,,,,,,X,,,,X,X,,X,X,,X,,,,,,,,,,,,,,,X,,,Anas gracilis,Anatidae,Anseriformes,DGNS,4,underused tier,https://navarog.github.io/wingsearch/card/293,FALSE
Grey Warbler,Gerygone igata,oceania,white,Play another bird in your [forest]. Pay its normal cost with a 1 [egg] discount.,Grey warblers build a pear-shaped nest with a side entrance near the top.,,,,1,wild,3,16,X,,,1,1,,1,,,,/,,1,,,,,,,,X,,,,X,X,,,X,,X,,,,,X,,X,,X,X,,,,X,,X,,Gerygone igata,Acanthizidae,Passeriformes,3FXNB,2,tier 1,https://navarog.github.io/wingsearch/card/294,FALSE
Grey-Headed Mannikin,Lonchura caniceps,oceania,yellow,"Play a bird. Pay its normal food cost, but ignore 1 [egg] in its egg cost. If it has a ""when played"" or ""game end"" power, you may use it.",These birds use grass to build ball-shaped nests high in trees.,,,,2,wild,3,15,,X,,,1,,,,,,,,1,,,,,,,,X,X,,,X,X,,,X,,X,,,,,,,X,,X,X,X,,,,,X,,Lonchura caniceps,Estrildidae,Passeriformes,72MNK,3,tier 2,https://navarog.github.io/wingsearch/card/295,FALSE
Greylag Goose,Anser anser,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","The greylag goose was once linked to divine figures such as Ra, Aphrodite, and Ishtar.",,,,7,ground,2,164,,,X,,3,,,,,,,,3,,,,,X,X,,,,,,X,,,,X,X,X,,,,,,X,,,,,,,X,,X,,,Anser anser,Anatidae,Anseriformes,679X7,3,tier 2,https://navarog.github.io/wingsearch/card/143,FALSE
Griffon Vulture,Gyps fulvus,european,teal,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,These birds' bald heads help them thermoregulate.,,,,1,platform,1,252,,X,,,,,,,,,,,0,,,,,X,X,X,,,,,,X,,,,,,,,,,,X,,,,X,X,,X,,,,,Gyps fulvus,Accipitridae,Accipitriformes,3HXNC,3,tier 2,https://navarog.github.io/wingsearch/card/144,TRUE
Hawfinch,Coccothraustes coccothraustes,european,brown,"Reset the birdfeeder. If you do, gain 1 [seed] from the birdfeeder after resetting.",These birds can be difficult to see because they favor high branches.,,,,4,bowl,2,30,X,,,,2,,,,,,,,2,,,,,X,X,,,,,,,,,,X,,,,,,,X,,,,X,,,,X,,,X,,Coccothraustes coccothraustes,Fringillidae,Passeriformes,WLXJ,4,underused tier,https://navarog.github.io/wingsearch/card/145,TRUE
Hermit Thrush,Catharus guttatus,core,brown,Player(s) with the fewest birds in their [forest] gain 1 [die] from birdfeeder.,Hermit thrushes tend to nest on the ground in the western US and in trees in the East.,,,,7,wild,2,30,X,,,1,,,2,,,,,,3,,X,X,,,,,,,,,,,,,,X,X,,,,,X,,X,,X,X,,,X,X,,X,,Catharus guttatus,Turdidae,Passeriformes,69FQZ,3,tier 2,https://navarog.github.io/wingsearch/card/146,TRUE
Himalayan Monal,Lophophorus impejanus,asia,brown,All players gain 1 [seed] from the supply. You also lay 1 [egg].,"This is the national bird of Nepal and the state bird of Uttarakhand, India.",,,,5,ground,2,33,X,X,,1,1,,1,,,,,,3,,,,,,X,,,,X,,,,X,,X,X,X,,,,,,,,,,,,,X,X,,,,Lophophorus impejanus,Phasianidae,Galliformes,3W3VY,2,tier 1,https://navarog.github.io/wingsearch/card/400,TRUE
Hooded Crow,Corvus cornix,european,teal,"Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",The hooded crow is associated with fairies in Celtic folklore.,,X,,3,platform,2,99,,X,X,1,,,,,,2,,,3,,,,,X,X,,,,,,,X,X,X,,X,,,,,,,X,,X,,X,,,X,,,,,Corvus cornix,Corvidae,Passeriformes,YNHH,3,tier 2,https://navarog.github.io/wingsearch/card/147,TRUE
